T,M
1135, -0.174
1136, -0.177
1137, -0.182
1138, -0.179
1139, -0.174
1140, -0.169
1141, -0.172
1142, -0.176
1143, -0.191
1144, -0.187
1145, -0.197
1146, -0.189
1147, -0.191
1148, -0.192
1149, -0.191
1150, -0.192
1151, -0.180
1152, -0.185
1153, -0.180
1154, -0.188
1155, -0.183
1156, -0.189
1157, -0.188
1158, -0.195
1159, -0.182
1160, -0.192
1161, -0.190
1162, -0.193
1163, -0.194
1164, -0.187
1165, -0.183
1166, -0.174
1167, -0.172
1168, -0.177
1169, -0.161
1170, -0.153
1171, -0.156
1172, -0.151
1173, -0.158
1174, -0.163
1175, -0.162
1176, -0.171
1177, -0.169
1178, -0.170
1179, -0.175
1180, -0.170
1181, -0.170
1182, -0.176
1183, -0.166
1184, -0.162
1185, -0.157
1186, -0.155
1187, -0.168
1188, -0.174
1189, -0.178
1190, -0.178
1191, -0.177
1192, -0.171
1193, -0.174
1194, -0.178
1195, -0.170
1196, -0.168
1197, -0.157
1198, -0.152
1199, -0.173
1200, -0.176
1201, -0.170
1202, -0.166
1203, -0.167
1204, -0.154
1205, -0.156
1206, -0.148
1207, -0.152
1208, -0.154
1209, -0.158
1210, -0.153
1211, -0.141
1212, -0.140
1213, -0.145
1214, -0.141
1215, -0.139
1216, -0.144
1217, -0.137
1218, -0.130
1219, -0.137
1220, -0.135
1221, -0.144
1222, -0.138
1223, -0.141
1224, -0.155
1225, -0.164
1226, -0.152
1227, -0.148
1228, -0.146
1229, -0.141
1230, -0.144
1231, -0.141
1232, -0.141
1233, -0.148
1234, -0.151
1235, -0.146
1236, -0.145
1237, -0.147
1238, -0.143
1239, -0.138
1240, -0.135
1241, -0.137
1242, -0.137
1243, -0.120
1244, -0.113
1245, -0.111
1246, -0.109
1247, -0.111
1248, -0.104
1249, -0.103
1250, -0.110
1251, -0.116
1252, -0.105
1253, -0.097
1254, -0.095
1255, -0.099
1256, -0.106
1257, -0.096
1258, -0.102
1259, -0.116
1260, -0.120
1261, -0.122
1262, -0.128
1263, -0.128
1264, -0.133
1265, -0.132
1266, -0.128
1267, -0.115
1268, -0.123
1269, -0.127
1270, -0.120
1271, -0.127
1272, -0.140
1273, -0.158
1274, -0.166
1275, -0.171
1276, -0.166
1277, -0.179
1278, -0.176
1279, -0.180
1280, -0.180
1281, -0.188
1282, -0.192
1283, -0.195
1284, -0.201
1285, -0.193
1286, -0.202
1287, -0.199
1288, -0.189
1289, -0.181
1290, -0.179
1291, -0.184
1292, -0.177
1293, -0.170
1294, -0.178
1295, -0.174
1296, -0.169
1297, -0.168
1298, -0.170
1299, -0.178
1300, -0.173
1301, -0.181
1302, -0.181
1303, -0.186
1304, -0.183
1305, -0.179
1306, -0.168
1307, -0.170
1308, -0.175
1309, -0.165
1310, -0.157
1311, -0.151
1312, -0.159
1313, -0.163
1314, -0.157
1315, -0.157
1316, -0.154
1317, -0.147
1318, -0.141
1319, -0.145
1320, -0.144
1321, -0.137
1322, -0.134
1323, -0.137
1324, -0.134
1325, -0.128
1326, -0.124
1327, -0.139
1328, -0.133
1329, -0.130
1330, -0.118
1331, -0.116
1332, -0.111
1333, -0.106
1334, -0.098
1335, -0.097
1336, -0.091
1337, -0.092
1338, -0.100
1339, -0.106
1340, -0.111
1341, -0.111
1342, -0.108
1343, -0.102
1344, -0.098
1345, -0.094
1346, -0.095
1347, -0.093
1348, -0.075
1349, -0.079
1350, -0.067
1351, -0.084
1352, -0.092
1353, -0.090
1354, -0.101
1355, -0.105
1356, -0.102
1357, -0.106
1358, -0.103
1359, -0.109
1360, -0.101
1361, -0.115
1362, -0.120
1363, -0.123
1364, -0.121
1365, -0.123
1366, -0.124
1367, -0.119
1368, -0.124
1369, -0.111
1370, -0.104
1371, -0.099
1372, -0.105
1373, -0.099
1374, -0.100
1375, -0.110
1376, -0.099
1377, -0.100
1378, -0.098
1379, -0.088
1380, -0.087
1381, -0.080
1382, -0.080
1383, -0.077
1384, -0.090
1385, -0.104
1386, -0.109
1387, -0.111
1388, -0.116
1389, -0.115
1390, -0.117
1391, -0.123
1392, -0.124
1393, -0.131
1394, -0.123
1395, -0.120
1396, -0.113
1397, -0.109
1398, -0.113
1399, -0.114
1400, -0.112
1401, -0.101
1402, -0.101
1403, -0.099
1404, -0.102
1405, -0.101
1406, -0.104
1407, -0.094
1408, -0.082
1409, -0.078
1410, -0.090
1411, -0.085
1412, -0.097
1413, -0.097
1414, -0.096
1415, -0.090
1416, -0.088
1417, -0.084
1418, -0.081
1419, -0.080
1420, -0.081
1421, -0.092
1422, -0.099
1423, -0.096
1424, -0.113
1425, -0.106
1426, -0.109
1427, -0.108
1428, -0.096
1429, -0.099
1430, -0.098
1431, -0.093
1432, -0.108
1433, -0.113
1434, -0.109
1435, -0.107
1436, -0.112
1437, -0.113
1438, -0.126
1439, -0.135
1440, -0.123
1441, -0.126
1442, -0.116
1443, -0.110
1444, -0.110
1445, -0.112
1446, -0.109
1447, -0.127
1448, -0.127
1449, -0.126
1450, -0.125
1451, -0.138
1452, -0.131
1453, -0.131
1454, -0.130
1455, -0.137
1456, -0.139
1457, -0.135
1458, -0.132
1459, -0.128
1460, -0.128
1461, -0.136
1462, -0.130
1463, -0.135
1464, -0.126
1465, -0.129
1466, -0.136
1467, -0.136
1468, -0.141
1469, -0.151
1470, -0.157
1471, -0.160
1472, -0.163
1473, -0.171
1474, -0.180
1475, -0.179
1476, -0.179
1477, -0.188
1478, -0.193
1479, -0.190
1480, -0.202
1481, -0.203
1482, -0.209
1483, -0.209
1484, -0.204
1485, -0.208
1486, -0.216
1487, -0.222
1488, -0.227
1489, -0.221
1490, -0.222
1491, -0.216
1492, -0.209
1493, -0.202
1494, -0.214
1495, -0.206
1496, -0.210
1497, -0.206
1498, -0.208
1499, -0.210
1500, -0.219
1501, -0.224
1502, -0.226
1503, -0.221
1504, -0.234
1505, -0.234
1506, -0.225
1507, -0.228
1508, -0.230
1509, -0.225
1510, -0.225
1511, -0.234
1512, -0.228
1513, -0.228
1514, -0.240
1515, -0.252
1516, -0.247
1517, -0.234
1518, -0.230
1519, -0.226
1520, -0.218
1521, -0.226
1522, -0.230
1523, -0.219
1524, -0.209
1525, -0.216
1526, -0.214
1527, -0.211
1528, -0.205
1529, -0.202
1530, -0.206
1531, -0.199
1532, -0.201
1533, -0.209
1534, -0.209
1535, -0.214
1536, -0.214
1537, -0.216
1538, -0.227
1539, -0.219
1540, -0.215
1541, -0.217
1542, -0.224
1543, -0.221
1544, -0.224
1545, -0.224
1546, -0.232
1547, -0.226
1548, -0.216
1549, -0.212
1550, -0.202
1551, -0.208
1552, -0.217
1553, -0.219
1554, -0.227
1555, -0.224
1556, -0.220
1557, -0.212
1558, -0.211
1559, -0.221
1560, -0.228
1561, -0.225
1562, -0.229
1563, -0.237
1564, -0.260
1565, -0.260
1566, -0.264
1567, -0.268
1568, -0.260
1569, -0.267
1570, -0.267
1571, -0.269
1572, -0.270
1573, -0.258
1574, -0.261
1575, -0.256
1576, -0.264
1577, -0.277
1578, -0.284
1579, -0.287
1580, -0.285
1581, -0.283
1582, -0.282
1583, -0.280
1584, -0.290
1585, -0.280
1586, -0.288
1587, -0.288
1588, -0.270
1589, -0.254
1590, -0.254
1591, -0.237
1592, -0.225
1593, -0.234
1594, -0.236
1595, -0.248
1596, -0.259
1597, -0.254
1598, -0.248
1599, -0.247
1600, -0.244
1601, -0.238
1602, -0.221
1603, -0.221
1604, -0.227
1605, -0.238
1606, -0.229
1607, -0.238
1608, -0.242
1609, -0.236
1610, -0.242
1611, -0.239
1612, -0.237
1613, -0.237
1614, -0.237
1615, -0.238
1616, -0.232
1617, -0.215
1618, -0.221
1619, -0.222
1620, -0.217
1621, -0.221
1622, -0.217
1623, -0.223
1624, -0.232
1625, -0.232
1626, -0.234
1627, -0.238
1628, -0.245
1629, -0.254
1630, -0.252
1631, -0.259
1632, -0.255
1633, -0.251
1634, -0.250
1635, -0.250
1636, -0.259
1637, -0.254
1638, -0.261
1639, -0.261
1640, -0.254
1641, -0.245
1642, -0.242
1643, -0.247
1644, -0.237
1645, -0.228
1646, -0.220
1647, -0.219
1648, -0.219
1649, -0.215
1650, -0.228
1651, -0.235
1652, -0.223
1653, -0.223
1654, -0.219
1655, -0.230
1656, -0.246
1657, -0.240
1658, -0.241
1659, -0.239
1660, -0.243
1661, -0.248
1662, -0.230
1663, -0.241
1664, -0.237
1665, -0.239
1666, -0.236
1667, -0.239
1668, -0.238
1669, -0.235
1670, -0.242
1671, -0.240
1672, -0.234
1673, -0.234
1674, -0.240
1675, -0.234
1676, -0.232
1677, -0.226
1678, -0.236
1679, -0.243
1680, -0.241
1681, -0.242
1682, -0.253
1683, -0.253
1684, -0.248
1685, -0.245
1686, -0.239
1687, -0.251
1688, -0.243
1689, -0.256
1690, -0.263
1691, -0.257
1692, -0.253
1693, -0.257
1694, -0.253
1695, -0.250
1696, -0.253
1697, -0.258
1698, -0.253
1699, -0.243
1700, -0.252
1701, -0.251
1702, -0.259
1703, -0.251
1704, -0.252
1705, -0.261
1706, -0.257
1707, -0.260
1708, -0.262
1709, -0.264
1710, -0.262
1711, -0.258
1712, -0.247
1713, -0.241
1714, -0.250
1715, -0.237
1716, -0.245
1717, -0.245
1718, -0.246
1719, -0.250
1720, -0.246
1721, -0.258
1722, -0.253
1723, -0.263
1724, -0.253
1725, -0.258
1726, -0.251
1727, -0.247
1728, -0.246
1729, -0.242
1730, -0.235
1731, -0.232
1732, -0.219
1733, -0.213
1734, -0.230
1735, -0.227
1736, -0.225
1737, -0.222
1738, -0.229
1739, -0.241
1740, -0.238
1741, -0.247
1742, -0.248
1743, -0.247
1744, -0.258
1745, -0.261
1746, -0.266
1747, -0.256
1748, -0.252
1749, -0.243
1750, -0.241
1751, -0.245
1752, -0.242
1753, -0.245
1754, -0.242
1755, -0.233
1756, -0.235
1757, -0.230
1758, -0.224
1759, -0.221
1760, -0.216
1761, -0.221
1762, -0.226
1763, -0.224
1764, -0.221
1765, -0.227
1766, -0.221
1767, -0.224
1768, -0.229
1769, -0.221
1770, -0.220
1771, -0.224
1772, -0.214
1773, -0.229
1774, -0.232
1775, -0.227
1776, -0.222
1777, -0.215
1778, -0.216
1779, -0.219
1780, -0.214
1781, -0.206
1782, -0.209
1783, -0.217
1784, -0.216
1785, -0.221
1786, -0.219
1787, -0.219
1788, -0.213
1789, -0.205
1790, -0.211
1791, -0.216
1792, -0.216
1793, -0.216
1794, -0.214
1795, -0.214
1796, -0.220
1797, -0.240
1798, -0.238
1799, -0.246
1800, -0.249
1801, -0.247
1802, -0.238
1803, -0.238
1804, -0.229
1805, -0.238
1806, -0.243
1807, -0.237
1808, -0.244
1809, -0.240
1810, -0.242
1811, -0.236
1812, -0.224
1813, -0.229
1814, -0.226
1815, -0.222
1816, -0.226
1817, -0.218
1818, -0.225
1819, -0.211
1820, -0.207
1821, -0.212
1822, -0.205
1823, -0.194
1824, -0.181
1825, -0.174
1826, -0.174
1827, -0.174
1828, -0.186
1829, -0.179
1830, -0.175
1831, -0.176
1832, -0.173
1833, -0.163
1834, -0.165
1835, -0.160
1836, -0.148
1837, -0.156
1838, -0.162
1839, -0.167
1840, -0.172
1841, -0.169
1842, -0.172
1843, -0.158
1844, -0.159
1845, -0.149
1846, -0.149
1847, -0.139
1848, -0.133
1849, -0.134
1850, -0.129
1851, -0.127
1852, -0.122
1853, -0.127
1854, -0.129
1855, -0.123
1856, -0.133
1857, -0.137
1858, -0.146
1859, -0.133
1860, -0.140
1861, -0.147
1862, -0.155
1863, -0.145
1864, -0.142
1865, -0.140
1866, -0.139
1867, -0.140
1868, -0.141
1869, -0.138
1870, -0.139
1871, -0.142
